beer_id,beer_name,mash_type,brewer,batch_size,boil_size,efficiency
lawnmower-kolsch-4,[u'Lawnmower Kolsch'],[u'All Grain'],[u'Preston'],[u'18.9270589'],[u'27.0278401092'],[u'70.0']
clone-saison-dupont,[u'Clone - Saison Dupont'],[u'All Grain'],[u'Michael Rising'],[u'18.9270589'],[u'27.0278401092'],[u'80.0']
raging-red-irish-red-ale,[u'Raging Red Irish Red Ale'],[u'All Grain'],[u'MBarnes97'],[u'18.9270589'],[u'13.24894123'],[u'70.0']
green-man-esb,[u'Green Man E.S.B.'],[u'All Grain'],[u'Anonymous'],[u'20.81976479'],[u'29.7533365908'],[u'80.0']
stone-xocoveza-clone-f026d4,[u'Stone Xocoveza Clone'],[u'All Grain'],[u'tbone74'],[u'20.81976479'],[u'28.39058835'],[u'68.0']
blanche-au-th-vert-green-tea,[u'Blanche au th\xe9 vert (green tea)'],[u'All Grain'],[u'Docthorjp'],[u'13.5'],[u'15.14'],[u'75.0']
121-gigawit,[u'1.21 Gigawit'],[u'Extract'],[u'Inverted Helicopter Engineering'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
nb-caribou-slobber-9,[u'NB Caribou Slobber'],[u'Extract'],[u'SteveM'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
cascade-orange-pale-ale-1,[u'Cascade Orange Pale Ale'],[u'Partial Mash'],[u'CRSharff'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
tafys-rye-pils,"[u""Tafy's Rye Pils""]",[u'All Grain'],[u'Tafaya'],[u'15.0'],[u'4.752'],[u'75.0']
ace-of-spades-black-ipa-1,[u'Ace of Spades Black IPA'],[u'All Grain'],[u'mormaii143'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
summer-solstice-wit,[u'Summer Solstice Wit'],[u'All Grain'],[u'Patrick in Goshen'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
sierra-nevada-pale-ale-clone-15,[u'Sierra Nevada Pale Ale Clone'],[u'Partial Mash'],[u'Peter Kane'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
patersbier-25,[u'Patersbier'],[u'All Grain'],[u'mobilecabinworks'],[u'18.9270589'],[u'23.658823625'],[u'73.0']
oataa,[u'Oataa'],[u'All Grain'],[u'jdmullin'],[u'18.9270589'],[u'22.71247068'],[u'70.0']
hawaiian-pale-ale-1,[u'Hawaiian Pale Ale'],[u'All Grain'],[u'KO Amps'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
caribou-slobber-38,[u'Caribou Slobber'],[u'All Grain'],[u'Lexworth'],[u'19.873411845'],[u'23.848094214'],[u'73.0']
jamils-north-german-altbier,"[u""Jamil's North German Altbier""]",[u'All Grain'],[u'HoundsBreath'],[u'19.873411845'],[u'24.84176480625'],[u'65.0']
2015-galaxy,[u'2015 Galaxy'],[u'All Grain'],[u'nathant'],[u'19.873411845'],[u'23.848094214'],[u'75.0']
lucky-jack,[u'Lucky Jack'],[u'All Grain'],[u'akalars'],[u'25.0'],[u'7.92'],[u'75.0']
iron-beard-dark,[u'Iron Beard Dark'],[u'All Grain'],[u'The Bearded Brewers'],[u'18.9270589'],[u'24.60517657'],[u'75.0']
scotty-1,[u'Scotty'],[u'All Grain'],[u'Rob Mulcahey'],[u'22.71247068'],[u'28.39058835'],[u'75.0']
columbus-single-hop-ipa-2,[u'Columbus Single Hop IPA'],[u'Extract'],[u'kbwiv'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
fawnbrake-gingerbread-ale,[u'Fawnbrake Gingerbread Ale'],[u'Partial Mash'],[u'chrish012'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
jamils-byo-irish-red-ale,"[u""Jamil's BYO Irish Red Ale""]",[u'All Grain'],[u'Vincent Castellano'],[u'45.42494136'],[u'59.052423768'],[u'70.0']
mocha-coffee-stout,[u'Mocha Coffee Stout'],[u'Extract'],[u'Nick Pegg'],[u'18.9270589'],[u'22.71247068'],[u'75.0']
strawberry-explosion,[u'Strawberry Explosion?!?'],[u'Partial Mash'],[u'lawrencem'],[u'16.9964988922'],[u'21.3118683214'],[u'75.0']
allagash-white-clone-11,[u'Allagash White Clone'],[u'Partial Mash'],[u'jdool76'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
american-honey-blonde,[u'American Honey Blonde'],[u'Extract'],[u'ChrisLuby'],[u'18.9270589'],[u'11.35623534'],[u'75.0']
zeitgeist-51d519,[u'Zeitgeist'],[u'All Grain'],[u'Evergreen Brewing'],[u'19.684141256'],[u'24.226635392000002'],[u'75.0']
dead-ringer-ipa-9,[u'Dead Ringer IPA'],[u'All Grain'],[u'drusty'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
outter-limits-ipa,[u'Outter Limits IPA'],[u'Extract'],[u'E. Fresh'],[u'20.781910672200002'],[u'13.211087112200001'],[u'75.0']
smoked-cherry-wit,[u'Smoked Cherry Wit'],[u'Partial Mash'],[u'James Davis'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
dennys-rye-ipa-21,"[u""Denny's Rye IPA""]",[u'All Grain'],[u'Andrew Miller'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
freshly-squeezed-nugs,[u'Freshly Squeezed Nugs'],[u'All Grain'],[u'r3VOLution'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
extract-tripel,[u'Extract Tripel'],[u'Extract'],[u'jon engel'],[u'18.9270589'],[u'23.658823625'],[u'75.0']
simple-biab-imperial-black-ipa,[u'Simple BIAB Imperial Black IPA'],[u'All Grain'],[u'Johnny Brooke'],[u'26.49788246'],[u'33.122353075'],[u'75.0']
tennessee-springtime-wheat,[u'Tennessee Springtime Wheat'],[u'All Grain'],[u'tokenrock'],[u'20.81976479'],[u'26.0247059875'],[u'75.0']
brett-saison-7,[u'Brett Saison'],[u'All Grain'],[u'J-Dub'],[u'18.9270589'],[u'20.81976479'],[u'74.0']
3-floyds-gumballhead-clone,"[u""3 Floyds' Gumballhead clone""]",[u'All Grain'],[u'uberg33k'],[u'20.81976479'],[u'27.7470683474'],[u'70.0']
german-pilsner-43,[u'German Pilsner'],[u'All Grain'],[u'Sirius Brewing'],[u'20.81976479'],[u'27.065694227'],[u'75.0']
smashing-german-blonde-with-a-perle-necklace,[u'SMaSHing German Blonde with a Perle Necklace'],[u'All Grain'],[u'stevenb'],[u'20.062682434'],[u'26.9142777558'],[u'83.0']
zombie-dust-ipa-clone,[u'Zombie Dust IPA Clone'],[u'Extract'],[u'GallowGlass Brewing Company'],[u'20.81976479'],[u'24.983717748'],[u'75.0']
belgian-lemon-orange-wheat,[u'Belgian Lemon Orange Wheat'],[u'All Grain'],[u'Tindall'],[u'18.9270589'],[u'23.658823625'],[u'85.0']
german-pilsner-8,[u'German Pilsner'],[u'All Grain'],[u'youngdongbruce'],[u'24.983717748'],[u'31.229647185'],[u'75.0']
