beer_id,beer_name,name,use,time,amount,amount_is_weight,notes
scotty-1,[u'Scotty'],[u'Whirlfloc Tablet'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
columbus-single-hop-ipa-2,[u'Columbus Single Hop IPA'],[],[],[],[],[],[]
fawnbrake-gingerbread-ale,[u'Fawnbrake Gingerbread Ale'],[u'Ginger Root (Fresh)'],[u'Secondary'],[u'14.0'],[u'3.0'],[u'false'],[]
jamils-byo-irish-red-ale,"[u""Jamil's BYO Irish Red Ale""]",[],[],[],[],[],[]
mocha-coffee-stout,[u'Mocha Coffee Stout'],[u'Cocoa Powder'],[u'Boil'],[u'60.0'],[u'4.0'],[u'false'],[]
strawberry-explosion,[u'Strawberry Explosion?!?'],[u'necturine'],[u'Secondary'],[u'10.0'],[u'1.0'],[u'false'],[]
allagash-white-clone-11,[u'Allagash White Clone'],[u'Ginger Root (Fresh)'],[u'Primary'],[u'0.0'],[u'3.0'],[u'false'],[]
american-honey-blonde,[u'American Honey Blonde'],[],[],[],[],[],[]
zeitgeist-51d519,[u'Zeitgeist'],[u'Whirlfloc Tablet'],[u'Boil'],[u'5.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
dead-ringer-ipa-9,[u'Dead Ringer IPA'],[],[],[],[],[],[]
outter-limits-ipa,[u'Outter Limits IPA'],[],[],[],[],[],[]
smoked-cherry-wit,[u'Smoked Cherry Wit'],[u'Cherry Puree'],[u'Secondary'],[u'7.0'],[u'3.0'],[u'false'],[]
dennys-rye-ipa-21,"[u""Denny's Rye IPA""]",[],[],[],[],[],[]
freshly-squeezed-nugs,[u'Freshly Squeezed Nugs'],[u'Whirlfloc Tablet'],[u'Boil'],[u'20.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
extract-tripel,[u'Extract Tripel'],[],[],[],[],[],[]
simple-biab-imperial-black-ipa,[u'Simple BIAB Imperial Black IPA'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
tennessee-springtime-wheat,[u'Tennessee Springtime Wheat'],[u'Whirlfloc Tablet'],[u'Boil'],[u'5.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
brett-saison-7,[u'Brett Saison'],[],[],[],[],[],[]
3-floyds-gumballhead-clone,"[u""3 Floyds' Gumballhead clone""]",[u'Whirlfloc Tablet'],[u'Boil'],[u'5.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
german-pilsner-43,[u'German Pilsner'],[],[],[],[],[],[]
smashing-german-blonde-with-a-perle-necklace,[u'SMaSHing German Blonde with a Perle Necklace'],[u'Yeast Energizer'],[u'Boil'],[u'10.0'],[u'0.5'],[u'false'],[]
zombie-dust-ipa-clone,[u'Zombie Dust IPA Clone'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
belgian-lemon-orange-wheat,[u'Belgian Lemon Orange Wheat'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
german-pilsner-8,[u'German Pilsner'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'0.105821885848741'],[u'false'],[]
ommegang-abbey-ale,[u'Ommegang Abbey Ale'],[u'Star Anise'],[u'Boil'],[u'1.0'],[u'0.1'],[u'false'],[]
double-dawg-dare-ipa-v2,[u'Double Dawg Dare IPA V2'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
proper-job,[u'Proper Job'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
bells-two-hearted-beersmith,[u'Bells Two Hearted (BeerSmith)'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
october-sky-fresh-hop-brown-ale,[u'October Sky - Fresh Hop Brown Ale'],[u'Irish Moss'],[u'Mash'],[u'15.0'],[u'1.0'],[u'false'],[]
robust-porter-v3,[u'Robust Porter V3'],[u'Irish Moss'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],[]
springtime-red-ipa,[u'Springtime Red IPA'],[],[],[],[],[],[]
hoegaarden-clone-26,[u'Hoegaarden Clone'],[u'Orange Peel'],[u'Boil'],[u'5.0'],[u'0.25'],[u'false'],[]
all-citra-ale,[u'All Citra Ale'],[u'Super Moss HB'],[u'Boil'],[u'10.0'],[u'1.0'],[u'false'],[]
grapefruit-ipa-87c8c3,[u'Grapefruit IPA'],[u'Grapefruit Peel'],[u'Boil'],[u'7.0'],[u'2.0'],[u'false'],[]
citra-amarillo-ipa,[u'Citra/Amarillo IPA'],[u'Whirlfloc Tablet'],[u'Boil'],[u'15.0'],[u'1.0'],[u'false'],"[u'A blend of Irish Moss and purified Kappa carrageenan that encourages the precipitation of haze causing materials such as proteins and Beta glucans. Prepared in a quick dissolving, highly soluble tablet form.']"
love-you-long-time-ipa,[u'Love You Long Time IPA'],[],[],[],[],[],[]
wee-heavy-51,[u'Wee Heavy'],[],[],[],[],[],[]
house-red-ale,[u'House Red Ale'],[],[],[],[],[],[]
sierra-nevada-pale-ale-clone-65,[u'Sierra Nevada Pale Ale Clone'],[],[],[],[],[],[]
vanilla-bourbon-stout-18,[u'Vanilla Bourbon Stout'],[u'Vanilla Beans'],[u'Secondary'],[u'7.0'],[u'2.0'],[u'false'],[]
woodys-wit,"[u""Woody's Wit""]",[u'Super Moss HB'],[u'Boil'],[u'15.0'],[u'0.25'],[u'false'],[]
belgian-pale-62,[u'belgian pale'],[],[],[],[],[],[]
