beer_id,beer_name,name,origin,_type,_yield,amount,potential,color,add_after_boil,coarse_fine_diff,moisture,diastatic_power,protein,max_in_batch,recommend_mash,ibu_gal_per_lb,notes
dead-guy-clone-ag,[u'Dead Guy Clone AG'],[u'CaraMunich (BE)'],[],[u'Kilned Malt'],[u'71.25890736342042'],[u'0.90718474'],[u'1.033'],[u'50'],[],[],[],[],[],[],[],[],[]
heafes-weizen,[u'Heafes-weizen'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
heafes-weizen,[u'Heafes-weizen'],[u'Wheat Malt (DE)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'2.1'],[u'1.037'],[u'2'],[],[],[],[],[],[],[],[],[]
cross-czech-pilsner,[u'Cross Czech Pilsner'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
cross-czech-pilsner,[u'Cross Czech Pilsner'],[u'Bohemian Pilsner (DE)'],[],[u'Base Malt'],[u'82.05571150939322'],[u'4.309127515'],[u'1.038'],[u'1'],[],[],[],[],[],[],[],[],[]
cross-czech-pilsner,[u'Cross Czech Pilsner'],[u'Vienna (DE)'],[],[u'Kilned Malt'],[u'79.89635068019865'],[u'0.6803885550000001'],[u'1.037'],[u'4'],[],[],[],[],[],[],[],[],[]
cross-czech-pilsner,[u'Cross Czech Pilsner'],[u'Caramel Pils (DE)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.226796185'],[u'1.034'],[u'8'],[],[],[],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[u'Maris Otter'],[u'United Kingdom'],[u'Base Malt'],[u'75.57762902180954'],[u'3.17514659'],[u'1.035'],[u'3'],[],[],[],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[u'2-Row Caramel Malt 40L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.34019427750000003'],[u'1.034'],[u'40'],[],[],[],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[u'Caramel Malt 20L'],[u'United States'],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.34019427750000003'],[u'1.034'],[u'20'],[],[],[],[],[],[],[],[],[]
southern-northern-brown,[u'Southern Northern Brown'],[u'Turbinado'],[],[u'Sugar'],[u'95.01187648456056'],[u'0.226796185'],[u'1.044'],[u'10'],[],[],[],[],[],[],[],[],[]
extra-special-brew-esb,[u'Extra Special Brew (ESB)'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
extra-special-brew-esb,[u'Extra Special Brew (ESB)'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'3.2885446825'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
extra-special-brew-esb,[u'Extra Special Brew (ESB)'],[u'Pale 2-Row - Toasted (US)'],[],[u'Base Malt'],[u'71.25890736342042'],[u'1.0205828325000001'],[u'1.033'],[u'30'],[],[],[],[],[],[],[],[],[]
extra-special-brew-esb,[u'Extra Special Brew (ESB)'],[u'Crystal 60L (CA)'],[],[u'Caramel/Crystal Malt'],[u'73.41826819261497'],[u'0.45359237'],[u'1.034'],[u'60'],[],[],[],[],[],[],[],[],[]
desecrator,[u'Desecrator'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
desecrator,[u'Desecrator'],[u'Munich Malt (BE)'],[],[u'Kilned Malt'],[u'71.25890736342042'],[u'5.4431084400000005'],[u'1.033'],[u'15'],[],[],[],[],[],[],[],[],[]
elf,[u'Elf'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
elf,[u'Elf'],[u'2-Row (US)'],[],[u'Base Malt'],[u'79.89635068019865'],[u'4.535923700000001'],[u'1.037'],[u'1'],[],[],[],[],[],[],[],[],[]
elf,[u'Elf'],[u'Red Wheat (US)'],[],[u'Adjunct'],[u'82.05571150939322'],[u'1.3607771100000001'],[u'1.038'],[u'2'],[],[],[],[],[],[],[],[],[]
elf,[u'Elf'],[u'Tart Cherry Juice Syrup'],[],[u'Sugar'],[u'64.78082487583676'],[u'0.90718474'],[u'1.03'],[u'15'],[],[],[],[],[],[],[],[],[]
elf,[u'Elf'],[u'Honey '],[],[u'Sugar'],[u'90.69315482617145'],[u'0.45359237'],[u'1.042'],[u'2'],[],[],[],[],[],[],[],[],[]
el-hefe-16,[u'El Hefe'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
el-hefe-16,[u'El Hefe'],"[u'Wheat Malt, White']",[u'United States'],[u'Adjunct'],[u'84.21507233858777'],[u'5.9999928644964005'],[u'1.039'],[u'2'],[],[],[],[],[],[],[],[],[]
biscuit-ipa-2,[u'Biscuit IPA'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
